TEAM,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PER,SEASON,Playoff,Quarter,Semi,Final,Champion,SCORE,W,L,WIN%,GB,CONF,DIV,HOME,ROAD,OT,STREAK,LAST 10,TEAM_ID,ELO
Oklahoma City Thunder,2956,6030,546.0,1429.0,1746,2096,791.0,2549.0,3340.0,1620,617.0,609.0,1115.0,1516,8204,17.4,2012-13,1,1,0,0,0,2.0,60,22,0.732,--  ,39-13,10-6 ,34-7 ,26-15,4-2 ,,,1610612760,1628.5544912363946
Orlando Magic,2993,6610,483.0,1445.0,1005,1323,864.0,2510.0,3374.0,1769,498.0,350.0,1091.0,1523,7474,15.06,2012-13,0,0,0,0,0,,20,62,0.244,46  ,10-42,3-13 ,12-29,8-33 ,1-3 ,,,1610612753,1241.067512923192
Philadelphia 76ers,2968,6635,502.0,1379.0,962,1310,868.0,2400.0,3268.0,1778,590.0,367.0,983.0,1424,7400,14.66,2012-13,0,0,0,0,0,,34,48,0.415,32  ,22-30,7-9  ,23-18,11-30,2-1 ,,,1610612755,1438.1682624602286
Phoenix Suns,2957,6655,464.0,1396.0,1168,1541,903.0,2340.0,3243.0,1798,626.0,409.0,1158.0,1593,7546,13.99,2012-13,0,0,0,0,0,,25,57,0.305,35  ,17-35,5-11 ,17-24,8-33 ,3-2 ,,,1610612756,1344.5365804640012
Portland Trail Blazers,2893,6405,667.0,1874.0,1254,1602,801.0,2341.0,3142.0,1722,512.0,335.0,1100.0,1367,7707,12.55,2012-13,0,0,0,0,0,,33,49,0.402,27  ,18-34,6-10 ,22-19,11-30,5-1 ,,,1610612757,1358.1007224859625
Sacramento Kings,2939,6565,575.0,1575.0,1373,1788,894.0,2252.0,3146.0,1624,627.0,318.0,1094.0,1619,7826,14.06,2012-13,0,0,0,0,0,,28,54,0.341,32  ,14-38,7-9  ,20-21,8-33 ,0-4 ,,,1610612758,1386.7472858822089
San Antonio Spurs,3130,6504,652.0,1731.0,1333,1683,639.0,2650.0,3289.0,1991,676.0,434.0,1120.0,1372,8245,17.52,2012-13,1,1,1,1,1,8.0,58,24,0.707,2   ,33-19,12-4 ,35-6 ,23-18,4-3 ,,,1610612759,1727.1224121141397
Toronto Raptors,2822,6274,520.0,1496.0,1355,1719,814.0,2254.0,3068.0,1680,552.0,360.0,1019.0,1659,7519,14.25,2012-13,0,0,0,0,0,,34,48,0.415,32  ,22-30,5-11 ,21-20,13-28,2-7 ,,,1610612761,1489.7096724879218
Utah Jazz,3012,6638,506.0,1379.0,1418,1850,963.0,2421.0,3384.0,1846,681.0,502.0,1153.0,1716,7948,15.12,2012-13,0,0,0,0,0,,43,39,0.524,17  ,26-26,9-7  ,30-11,13-28,3-3 ,,,1610612762,1539.694818447875
Washington Wizards,2848,6512,538.0,1459.0,1257,1720,865.0,2564.0,3429.0,1695,574.0,364.0,1154.0,1607,7491,14.31,2012-13,0,0,0,0,0,,29,53,0.354,37  ,15-37,5-11 ,22-19,7-34 ,0-5 ,,,1610612764,1415.4907966850585
Atlanta Hawks,2315,5089,479.0,1290.0,975,1317,597.0,1943.0,2540.0,1424,510.0,279.0,831.0,1099,6084,15.86,2011-12,1,0,0,0,0,5.0,40,26,0.606,10  ,31-17,11-3 ,23-10,17-16,5-3 ,,,1610612737,1562.2868017620883
Boston Celtics,2108,4568,346.0,933.0,950,1203,418.0,1825.0,2243.0,1452,446.0,319.0,822.0,1130,5512,13.43,2011-12,1,1,1,0,0,12.0,39,27,0.591,11  ,32-16,8-6  ,24-9 ,15-18,3-1 ,,,1610612738,1626.444899714621
Brooklyn Nets,2120,4970,477.0,1380.0,1063,1357,732.0,1744.0,2476.0,1249,463.0,242.0,887.0,1156,5780,13.34,2011-12,0,0,0,0,0,,22,44,0.333,28  ,16-32,5-9  ,9-24 ,13-20,2-0 ,,,1610612751,1329.6031485617575
Charlotte Hornets,2095,5003,249.0,833.0,1043,1390,624.0,1755.0,2379.0,1250,366.0,333.0,825.0,1128,5482,12.48,2011-12,0,0,0,0,0,,7,59,0.106,43  ,5-43 ,1-14 ,4-29 ,3-30 ,0-2 ,,,1610612766,1124.1460455187785
Chicago Bulls,2401,5304,410.0,1089.0,953,1324,882.0,2111.0,2993.0,1469,436.0,375.0,850.0,1090,6165,17.54,2011-12,1,0,0,0,0,1.0,50,16,0.758,--  ,38-10,13-1 ,26-7 ,24-9 ,3-1 ,,,1610612741,1608.6467136069025
Cleveland Cavaliers,2017,4753,394.0,1122.0,1040,1432,745.0,1685.0,2430.0,1175,408.0,227.0,829.0,1076,5468,13.42,2011-12,0,0,0,0,0,,21,45,0.318,29  ,13-35,3-12 ,11-22,10-23,0-5 ,,,1610612739,1300.7662233717062
Dallas Mavericks,2309,5178,482.0,1394.0,976,1264,631.0,2051.0,2682.0,1315,538.0,317.0,832.0,1122,6076,16.41,2011-12,1,0,0,0,0,7.0,36,30,0.545,14  ,26-22,8-5  ,23-10,13-20,3-3 ,,,1610612742,1501.9935371991014
Denver Nuggets,2322,4917,413.0,1241.0,1204,1599,632.0,1817.0,2449.0,1492,493.0,238.0,904.0,1145,6261,16.71,2011-12,1,0,0,0,0,6.0,38,28,0.576,12  ,22-26,6-7  ,20-13,18-15,5-2 ,,,1610612743,1598.891406861963
Detroit Pistons,2204,5011,298.0,858.0,1070,1418,745.0,1804.0,2549.0,1163,431.0,268.0,922.0,1230,5776,12.48,2011-12,0,0,0,0,0,,25,41,0.379,25  ,20-28,4-11 ,18-15,7-26 ,2-3 ,,,1610612765,1411.4967635092703
Golden State Warriors,2398,5247,522.0,1346.0,899,1149,580.0,1823.0,2403.0,1445,503.0,327.0,853.0,1310,6217,14.63,2011-12,0,0,0,0,0,,23,43,0.348,27  ,16-32,7-8  ,12-21,11-22,1-2 ,,,1610612744,1346.0400827304106
Houston Rockets,2277,5044,460.0,1259.0,935,1169,649.0,1684.0,2333.0,1293,455.0,256.0,841.0,1171,5949,14.9,2011-12,0,0,0,0,0,,34,32,0.515,16  ,23-25,6-8  ,22-11,12-21,3-6 ,,,1610612745,1494.01051164246
Indiana Pacers,2208,5008,362.0,974.0,1302,1652,770.0,1940.0,2710.0,1140,469.0,349.0,802.0,1322,6080,15.67,2011-12,1,1,0,0,0,6.0,42,24,0.636,8   ,29-19,9-4  ,23-10,19-14,4-2 ,,,1610612754,1593.8251379711744
Los Angeles Clippers,2285,4911,474.0,1278.0,983,1442,718.0,1763.0,2481.0,1279,483.0,284.0,722.0,1211,6027,14.68,2011-12,1,1,0,0,0,10.0,40,26,0.606,10  ,29-19,7-7  ,24-9 ,16-17,4-1 ,,,1610612746,1583.9719497762776
Los Angeles Lakers,2262,4909,322.0,987.0,1151,1519,743.0,2145.0,2888.0,1413,363.0,338.0,886.0,994,5997,16.17,2011-12,1,1,0,0,0,6.0,41,25,0.621,9   ,32-16,9-5  ,26-7 ,15-18,6-1 ,,,1610612747,1593.5171429383486
Memphis Grizzlies,2253,4966,247.0,731.0,1074,1404,757.0,1809.0,2566.0,1163,579.0,315.0,798.0,1143,5827,15.41,2011-12,1,0,0,0,0,4.0,41,25,0.621,9   ,26-22,7-8  ,26-7 ,15-18,1-2 ,,,1610612763,1622.467384441322
Miami Heat,2327,4921,362.0,990.0,1179,1509,599.0,1897.0,2496.0,1264,555.0,327.0,888.0,1100,6195,15.54,2011-12,1,1,1,1,1,8.0,46,20,0.697,4   ,35-13,9-5  ,28-5 ,18-15,2-4 ,,,1610612748,1739.302758710632
Milwaukee Bucks,2300,5179,430.0,1232.0,990,1273,693.0,1724.0,2417.0,1456,504.0,266.0,818.0,1099,6020,15.27,2011-12,0,0,0,0,0,,31,35,0.47,19  ,24-24,7-8  ,17-16,14-19,1-0 ,,,1610612749,1457.0508767581607
Minnesota Timberwolves,2264,5218,464.0,1398.0,1241,1596,749.0,1995.0,2744.0,1218,415.0,262.0,909.0,1121,6233,15.22,2011-12,0,0,0,0,0,,26,40,0.394,24  ,19-29,4-9  ,13-20,13-20,0-3 ,,,1610612750,1342.2999684146523
New Orleans Pelicans,2125,4696,239.0,696.0,936,1232,669.0,1859.0,2528.0,1264,431.0,298.0,865.0,1168,5425,14.01,2011-12,0,0,0,0,0,,21,45,0.318,29  ,14-34,3-11 ,11-22,10-23,1-3 ,,,1610612740,1443.6897733294384
New York Knicks,2332,5268,515.0,1529.0,1195,1611,722.0,1975.0,2697.0,1319,616.0,266.0,1000.0,1358,6374,14.93,2011-12,1,0,0,0,0,7.0,36,30,0.545,14  ,28-20,8-6  ,22-11,14-19,1-2 ,,,1610612752,1553.7873159720914
Oklahoma City Thunder,2346,4924,433.0,1198.0,1368,1692,704.0,2047.0,2751.0,1157,457.0,521.0,1000.0,1230,6493,16.0,2011-12,1,1,1,1,0,8.0,47,19,0.712,3   ,34-14,10-3 ,26-7 ,21-12,3-1 ,,,1610612760,1707.0662022235394
Orlando Magic,2142,4846,652.0,1717.0,930,1399,702.0,1958.0,2660.0,1241,412.0,258.0,847.0,1080,5866,14.35,2011-12,1,0,0,0,0,6.0,37,29,0.561,13  ,30-18,8-7  ,21-12,16-17,1-4 ,,,1610612753,1455.866324174616
Philadelphia 76ers,2420,5350,339.0,933.0,867,1164,682.0,2044.0,2726.0,1418,514.0,327.0,683.0,1105,6046,17.47,2011-12,1,1,0,0,0,14.0,35,31,0.53,15  ,28-20,7-6  ,19-14,16-17,1-2 ,,,1610612755,1555.1636954572998
Phoenix Suns,2447,5346,440.0,1271.0,1058,1395,686.0,1971.0,2657.0,1452,417.0,360.0,883.0,1195,6392,15.73,2011-12,0,0,0,0,0,,33,33,0.5,17  ,23-25,9-5  ,19-14,14-19,0-0 ,,,1610612756,1547.8462883354775
Portland Trail Blazers,2230,5046,462.0,1329.0,1037,1277,636.0,1696.0,2332.0,1249,496.0,281.0,817.0,1062,5959,14.04,2011-12,0,0,0,0,0,,28,38,0.424,22  ,20-28,4-10 ,20-13,8-25 ,1-3 ,,,1610612757,1408.8689495413723
Sacramento Kings,2405,5520,402.0,1271.0,1098,1481,852.0,1850.0,2702.0,1209,538.0,299.0,873.0,1253,6310,13.88,2011-12,0,0,0,0,0,,22,44,0.333,28  ,16-32,3-10 ,16-17,6-27 ,1-2 ,,,1610612758,1394.3006329955049
San Antonio Spurs,2455,5118,515.0,1303.0,1017,1363,636.0,2018.0,2654.0,1360,445.0,278.0,777.0,1025,6442,17.87,2011-12,1,1,1,0,0,3.0,50,16,0.758,--  ,35-13,12-4 ,28-5 ,22-11,3-1 ,,,1610612759,1763.0627747085928
Toronto Raptors,2084,4629,313.0,909.0,1012,1294,621.0,1787.0,2408.0,1226,386.0,287.0,848.0,1323,5493,14.69,2011-12,0,0,0,0,0,,23,43,0.348,27  ,15-33,7-8  ,13-20,10-23,2-2 ,,,1610612761,1377.2248104541957
Utah Jazz,2455,5376,264.0,816.0,1236,1636,814.0,2000.0,2814.0,1410,527.0,360.0,877.0,1378,6410,15.35,2011-12,1,0,0,0,0,8.0,36,30,0.545,14  ,25-23,9-4  ,25-8 ,11-22,4-3 ,,,1610612762,1556.9172773083687
Washington Wizards,2167,4954,289.0,913.0,941,1292,700.0,1734.0,2434.0,1193,469.0,389.0,894.0,1245,5564,13.56,2011-12,0,0,0,0,0,,20,46,0.303,30  ,16-32,7-7  ,11-22,9-24 ,1-0 ,,,1610612764,1399.4446020098792
Atlanta Hawks,2926,6313,492.0,1398.0,1325,1694,742.0,2409.0,3151.0,1779,489.0,332.0,1022.0,1520,7669,13.23,2010-11,1,1,0,0,0,10.0,44,38,0.537,18  ,31-21,9-7  ,24-17,20-21,1-1 ,,,1610612737,1526.8871644454869
Boston Celtics,2794,5691,385.0,1045.0,1357,1745,544.0,2263.0,2807.0,1778,619.0,283.0,980.0,1443,7330,14.71,2010-11,1,1,0,0,0,6.0,56,26,0.683,6   ,37-15,13-3 ,33-8 ,23-18,3-1 ,,,1610612738,1578.6983762262971
Brooklyn Nets,2601,5844,427.0,1208.0,1277,1641,782.0,2090.0,2872.0,1376,371.0,335.0,902.0,1545,6906,12.85,2010-11,0,0,0,0,0,,24,58,0.293,38  ,13-39,3-13 ,19-22,5-36 ,5-4 ,,,1610612751,1288.5550555424668
Charlotte Hornets,2673,5925,371.0,1125.0,1426,1860,750.0,2224.0,2974.0,1625,476.0,387.0,1033.0,1433,7143,14.27,2010-11,0,0,0,0,0,,34,48,0.415,28  ,22-30,4-12 ,21-20,13-28,3-2 ,,,1610612766,1423.5591224837372
Chicago Bulls,3008,6513,505.0,1393.0,1486,1993,960.0,2628.0,3588.0,1806,581.0,455.0,1079.0,1593,8007,16.16,2010-11,1,1,1,0,0,3.0,62,20,0.756,--  ,39-13,15-1 ,36-5 ,26-15,3-2 ,,,1610612741,1670.4131191284682
Cleveland Cavaliers,2686,6135,446.0,1301.0,1484,1986,798.0,2286.0,3084.0,1583,499.0,316.0,1052.0,1509,7302,13.22,2010-11,0,0,0,0,0,,19,63,0.232,43  ,15-37,3-13 ,12-29,7-34 ,2-1 ,,,1610612739,1332.1226654390985
Dallas Mavericks,2850,5971,603.0,1639.0,1316,1692,707.0,2437.0,3144.0,1842,499.0,316.0,1009.0,1331,7619,15.8,2010-11,1,1,1,1,1,12.0,57,25,0.695,4   ,35-17,8-8  ,29-12,28-13,1-0 ,,,1610612742,1785.291475344936
Denver Nuggets,3016,6329,638.0,1638.0,1745,2274,732.0,2495.0,3227.0,1749,573.0,322.0,1068.0,1595,8415,17.39,2010-11,1,0,0,0,0,5.0,50,32,0.61,11  ,30-22,9-7  ,33-8 ,17-24,0-1 ,,,1610612743,1583.8201252271306
Detroit Pistons,3028,6578,463.0,1235.0,1358,1834,929.0,2226.0,3155.0,1728,592.0,327.0,988.0,1608,7877,14.75,2010-11,0,0,0,0,0,,30,52,0.366,32  ,22-30,7-9  ,21-20,9-32 ,5-2 ,,,1610612765,1393.3797409190145
Golden State Warriors,3017,6516,661.0,1684.0,1199,1557,825.0,2159.0,2984.0,1744,663.0,355.0,1057.0,1579,7894,14.67,2010-11,0,0,0,0,0,,36,46,0.439,25  ,21-31,5-11 ,26-15,10-31,3-3 ,,,1610612744,1483.145335208812
Houston Rockets,3017,6610,641.0,1760.0,1602,1990,913.0,2409.0,3322.0,1809,541.0,350.0,975.0,1533,8277,17.08,2010-11,0,0,0,0,0,,43,39,0.524,18  ,25-27,5-11 ,25-16,18-23,2-6 ,,,1610612745,1565.8469014528523
Indiana Pacers,2990,6748,585.0,1648.0,1581,2021,913.0,2640.0,3553.0,1590,580.0,456.0,1194.0,1768,8146,15.22,2010-11,1,0,0,0,0,8.0,37,45,0.451,25  ,28-24,9-7  ,24-17,13-28,1-3 ,,,1610612754,1471.5606190921123
Los Angeles Clippers,2817,6167,463.0,1397.0,1472,2077,878.0,2291.0,3169.0,1761,557.0,381.0,1208.0,1520,7569,14.3,2010-11,0,0,0,0,0,,32,50,0.39,29  ,19-33,7-9  ,23-18,9-32 ,1-4 ,,,1610612746,1455.5975944707309
Los Angeles Lakers,3024,6480,511.0,1441.0,1494,1915,937.0,2496.0,3433.0,1719,582.0,394.0,964.0,1438,8053,17.04,2010-11,1,1,0,0,0,4.0,57,25,0.695,4   ,36-16,12-4 ,30-11,27-14,4-0 ,,,1610612747,1601.098737360576
Memphis Grizzlies,3095,6552,306.0,899.0,1411,1854,907.0,2253.0,3160.0,1618,743.0,410.0,1041.0,1551,7907,14.74,2010-11,1,1,0,0,0,16.0,46,36,0.561,15  ,30-22,8-8  ,30-11,16-25,2-5 ,,,1610612763,1623.830039717338
Miami Heat,2970,6178,546.0,1475.0,1730,2243,742.0,2537.0,3279.0,1627,533.0,423.0,1061.0,1604,8216,14.31,2010-11,1,1,1,1,0,8.0,58,24,0.707,4   ,38-14,13-3 ,30-11,28-13,2-2 ,,,1610612748,1717.59321122139
Milwaukee Bucks,2772,6441,476.0,1387.0,1417,1871,850.0,2456.0,3306.0,1523,612.0,395.0,1018.0,1660,7437,14.23,2010-11,0,0,0,0,0,,35,47,0.427,27  ,26-26,6-10 ,22-19,13-28,3-3 ,,,1610612749,1477.2492076938045
Minnesota Timberwolves,2866,6500,567.0,1493.0,1417,1827,987.0,2359.0,3346.0,1582,550.0,379.0,1259.0,1676,7716,13.71,2010-11,0,0,0,0,0,,17,65,0.207,44  ,7-45 ,1-15 ,12-29,5-36 ,0-4 ,,,1610612750,1231.9400219390466
New Orleans Pelicans,2854,6192,425.0,1173.0,1410,1836,771.0,2345.0,3116.0,1635,612.0,320.0,941.0,1604,7543,14.22,2010-11,0,0,0,0,0,7.0,46,36,0.561,15  ,27-25,9-7  ,28-13,18-23,4-2 ,,,1610612740,1520.5103017130398
New York Knicks,2957,6439,734.0,1992.0,1599,1952,712.0,2229.0,2941.0,1627,548.0,417.0,983.0,1494,8247,17.31,2010-11,1,0,0,0,0,6.0,42,40,0.512,20  ,28-24,10-6 ,23-18,19-22,2-1 ,,,1610612752,1447.894383080043
Oklahoma City Thunder,2887,6241,478.0,1378.0,1926,2311,785.0,2340.0,3125.0,1628,612.0,442.0,1024.0,1617,8178,15.87,2010-11,1,1,1,0,0,12.0,55,27,0.671,6   ,33-19,13-3 ,30-11,25-16,8-2 ,,,1610612760,1651.2021120189968
Orlando Magic,2787,6019,729.0,1988.0,1415,2038,772.0,2465.0,3237.0,1576,515.0,341.0,1109.0,1478,7718,14.62,2010-11,1,0,0,0,0,4.0,52,30,0.634,10  ,36-16,11-5 ,29-12,23-18,3-3 ,,,1610612753,1545.8766625256835
Philadelphia 76ers,3060,6616,440.0,1230.0,1413,1829,826.0,2473.0,3299.0,1840,613.0,339.0,982.0,1510,7973,16.62,2010-11,1,0,0,0,0,7.0,41,41,0.5,21  ,25-27,9-7  ,26-15,15-26,2-8 ,,,1610612755,1479.391366950278
Phoenix Suns,3041,6406,676.0,1780.0,1382,1813,771.0,2396.0,3167.0,1779,504.0,343.0,1020.0,1531,8140,16.46,2010-11,0,0,0,0,0,,40,42,0.488,21  ,23-29,9-7  ,23-18,17-24,5-4 ,,,1610612756,1482.1964700777469
Portland Trail Blazers,2836,6325,508.0,1473.0,1427,1751,910.0,2034.0,2944.0,1662,642.0,330.0,923.0,1395,7607,14.52,2010-11,1,0,0,0,0,6.0,48,34,0.585,13  ,30-22,10-6 ,30-11,18-23,2-3 ,,,1610612757,1600.5938254025025
Sacramento Kings,2978,6649,413.0,1222.0,1409,1910,995.0,2452.0,3447.0,1631,583.0,385.0,1218.0,1704,7778,15.09,2010-11,0,0,0,0,0,,24,58,0.293,37  ,15-37,7-9  ,11-30,13-28,1-6 ,,,1610612758,1424.4584636910304
San Antonio Spurs,3025,6321,625.0,1568.0,1489,1936,809.0,2507.0,3316.0,1752,580.0,355.0,1010.0,1459,8164,17.56,2010-11,1,0,0,0,0,1.0,61,21,0.744,--  ,38-14,10-6 ,36-5 ,25-16,3-1 ,,,1610612759,1578.984187291258
Toronto Raptors,2990,6389,321.0,1005.0,1416,1882,926.0,2207.0,3133.0,1692,548.0,329.0,1073.0,1679,7717,14.45,2010-11,0,0,0,0,0,,22,60,0.268,40  ,14-38,5-11 ,16-25,6-35 ,0-2 ,,,1610612761,1284.7631186980934
Utah Jazz,2837,6145,427.0,1231.0,1492,1893,772.0,2101.0,2873.0,1835,591.0,417.0,1032.0,1640,7593,13.66,2010-11,0,0,0,0,0,,39,43,0.476,22  ,21-31,7-9  ,21-20,18-23,5-2 ,,,1610612762,1428.1164436059769
Washington Wizards,2873,6450,373.0,1105.0,1390,1835,909.0,2155.0,3064.0,1477,594.0,467.0,1109.0,1640,7509,13.66,2010-11,0,0,0,0,0,,23,59,0.28,39  ,16-36,3-13 ,20-21,3-38 ,5-3 ,,,1610612764,1345.424152032056
Atlanta Hawks,3134,6704,524.0,1453.0,1427,1871,940.0,2389.0,3329.0,1774,576.0,407.0,914.0,1547,8219,15.35,2009-10,1,1,0,0,0,6.0,53,29,0.646,8   ,32-20,8-8  ,34-7 ,19-22,4-3 ,,,1610612737,1582.7966681886037
Boston Celtics,2881,5912,424.0,1245.0,1532,2045,693.0,2316.0,3009.0,1809,659.0,393.0,1088.0,1665,7718,14.96,2009-10,1,1,1,1,1,16.0,50,32,0.61,11  ,33-19,13-3 ,24-17,26-15,3-1 ,,,1610612738,1677.491366637775
Brooklyn Nets,2696,6239,343.0,1068.0,1525,1948,848.0,2221.0,3069.0,1477,528.0,366.0,1044.0,1483,7260,12.4,2009-10,0,0,0,0,0,,12,70,0.146,49  ,8-44 ,3-13 ,8-33 ,4-37 ,1-1 ,,,1610612751,1258.8182639240642
Charlotte Hornets,2723,5943,425.0,1223.0,1558,2073,798.0,2343.0,3141.0,1592,596.0,414.0,1160.0,1485,7429,14.05,2009-10,0,0,0,0,0,7.0,44,38,0.537,17  ,27-25,10-6 ,31-10,13-28,4-3 ,,,1610612766,1510.6885519573827
Chicago Bulls,3023,6658,343.0,1023.0,1446,1912,905.0,2624.0,3529.0,1661,514.0,472.0,1085.0,1549,7835,15.45,2009-10,1,0,0,0,0,8.0,41,41,0.5,20  ,28-24,10-6 ,24-17,17-24,5-2 ,,,1610612741,1513.4277335828206
Cleveland Cavaliers,3041,6241,593.0,1547.0,1518,2095,756.0,2622.0,3378.0,1812,548.0,416.0,1029.0,1521,8193,16.49,2009-10,1,1,0,0,0,2.0,61,21,0.744,--  ,38-14,12-4 ,35-6 ,26-15,2-2 ,,,1610612739,1615.570913598227
Dallas Mavericks,2914,6216,506.0,1329.0,1448,1760,725.0,2362.0,3087.0,1848,562.0,412.0,947.0,1327,7782,16.38,2009-10,1,0,0,0,0,2.0,55,27,0.671,2   ,33-19,10-6 ,28-13,27-14,5-3 ,,,1610612742,1615.898365646647
Denver Nuggets,3018,6443,543.0,1503.0,1909,2468,817.0,2343.0,3160.0,1682,654.0,397.0,1057.0,1680,8488,15.97,2009-10,1,0,0,0,0,4.0,53,29,0.646,4   ,34-18,12-4 ,34-7 ,19-22,4-0 ,,,1610612743,1587.9782829972687
Detroit Pistons,2831,6352,359.0,1148.0,1402,1908,995.0,2138.0,3133.0,1562,575.0,294.0,982.0,1706,7423,12.68,2009-10,0,0,0,0,0,,27,55,0.329,34  ,18-34,2-14 ,17-24,10-31,3-1 ,,,1610612765,1340.1725445437385
Golden State Warriors,3115,6643,596.0,1572.0,1547,1967,688.0,2250.0,2938.0,1717,720.0,311.0,1097.0,1737,8373,15.43,2009-10,0,0,0,0,0,,26,56,0.317,31  ,15-37,5-11 ,18-23,8-33 ,0-2 ,,,1610612744,1417.060583835988
Houston Rockets,2904,6471,634.0,1779.0,1448,1844,846.0,2285.0,3131.0,1713,544.0,279.0,1038.0,1533,7890,15.38,2009-10,0,0,0,0,0,,42,40,0.512,15  ,28-24,9-7  ,23-18,19-22,4-3 ,,,1610612745,1498.8635750084045
Indiana Pacers,2997,6771,658.0,1890.0,1559,2008,751.0,2569.0,3320.0,1705,579.0,435.0,1154.0,1802,8211,15.56,2009-10,0,0,0,0,0,,32,50,0.39,29  ,23-29,6-10 ,23-18,9-32 ,0-1 ,,,1610612754,1491.84345577143
Los Angeles Clippers,2737,5921,403.0,1218.0,1285,1756,865.0,2288.0,3153.0,1649,469.0,444.0,1109.0,1404,7162,14.52,2009-10,0,0,0,0,0,,29,53,0.354,28  ,15-37,5-11 ,21-20,8-33 ,1-0 ,,,1610612746,1342.3647353122724
Los Angeles Lakers,3034,6603,520.0,1524.0,1503,1954,919.0,2559.0,3478.0,1664,594.0,368.0,1029.0,1502,8091,15.93,2009-10,1,1,1,1,0,4.0,57,25,0.695,--  ,35-17,13-3 ,34-7 ,23-18,4-1 ,,,1610612747,1723.2187749926943
Memphis Grizzlies,3086,6549,341.0,1004.0,1548,2093,983.0,2334.0,3317.0,1499,616.0,360.0,1122.0,1518,8061,14.03,2009-10,0,0,0,0,0,,40,42,0.488,17  ,22-30,5-11 ,23-18,17-24,3-5 ,,,1610612763,1453.3014369765024
Miami Heat,2949,6437,493.0,1420.0,1431,1872,826.0,2464.0,3290.0,1544,594.0,445.0,989.0,1634,7822,13.63,2009-10,1,0,0,0,0,5.0,47,35,0.573,14  ,32-20,9-7  ,24-17,23-18,4-2 ,,,1610612748,1545.6725834698896
Milwaukee Bucks,2837,6430,599.0,1647.0,1175,1541,898.0,2370.0,3268.0,1642,528.0,364.0,975.0,1664,7448,14.4,2009-10,1,0,0,0,0,6.0,46,36,0.561,15  ,31-21,10-6 ,28-13,18-23,4-6 ,,,1610612749,1583.477136228905
Minnesota Timberwolves,2962,6578,386.0,1119.0,1364,1838,873.0,2385.0,3258.0,1565,568.0,280.0,1213.0,1529,7674,13.7,2009-10,0,0,0,0,0,,15,67,0.183,42  ,8-44 ,3-13 ,10-31,5-36 ,1-1 ,,,1610612750,1215.0274126337956
New Orleans Pelicans,3060,6570,554.0,1506.0,1252,1599,780.0,2328.0,3108.0,1739,598.0,276.0,990.0,1469,7926,14.75,2009-10,0,0,0,0,0,,37,45,0.451,20  ,26-26,7-9  ,24-17,13-28,3-3 ,,,1610612740,1419.5425144148285
New York Knicks,2921,6365,705.0,2010.0,1283,1638,726.0,2276.0,3002.0,1693,548.0,270.0,999.0,1471,7830,14.67,2009-10,0,0,0,0,0,,29,53,0.354,32  ,20-32,6-10 ,18-23,11-30,2-5 ,,,1610612752,1377.7965548239722
Oklahoma City Thunder,2957,6391,409.0,1204.0,1739,2158,918.0,2482.0,3400.0,1584,622.0,454.0,1116.0,1633,8062,15.6,2009-10,1,0,0,0,0,8.0,50,32,0.61,7   ,28-24,9-7  ,27-14,23-18,1-4 ,,,1610612760,1566.285923926736
Orlando Magic,2956,6283,828.0,2202.0,1556,2156,802.0,2696.0,3498.0,1552,501.0,455.0,1091.0,1597,8296,17.27,2009-10,1,1,1,0,0,6.0,59,23,0.72,2   ,39-13,10-6 ,34-7 ,25-16,2-0 ,,,1610612753,1734.490605119439
Philadelphia 76ers,3018,6545,443.0,1307.0,1346,1778,925.0,2371.0,3296.0,1689,651.0,435.0,1125.0,1624,7825,14.63,2009-10,0,0,0,0,0,,27,55,0.329,34  ,14-38,7-9  ,12-29,15-26,2-3 ,,,1610612755,1351.9123123143647
Phoenix Suns,3254,6566,727.0,1756.0,1577,2031,865.0,2526.0,3391.0,1881,470.0,400.0,1119.0,1636,8812,17.99,2009-10,1,1,1,0,0,9.0,54,28,0.659,3   ,35-17,12-4 ,32-9 ,22-19,1-1 ,,,1610612756,1704.2630556087431
Portland Trail Blazers,2881,6255,477.0,1350.0,1560,1978,874.0,2281.0,3155.0,1655,508.0,326.0,916.0,1618,7799,14.67,2009-10,1,0,0,0,0,6.0,50,32,0.61,7   ,33-19,8-8  ,26-15,24-17,1-5 ,,,1610612757,1595.9006195633472
Sacramento Kings,3056,6696,482.0,1377.0,1388,1902,901.0,2372.0,3273.0,1638,536.0,342.0,1110.0,1716,7982,14.7,2009-10,0,0,0,0,0,,25,57,0.305,32  ,16-36,5-11 ,18-23,7-34 ,2-4 ,,,1610612758,1289.8518012406732
San Antonio Spurs,2982,6303,526.0,1465.0,1383,1849,833.0,2468.0,3301.0,1765,489.0,336.0,991.0,1537,7873,16.11,2009-10,1,1,0,0,0,14.0,50,32,0.61,7   ,31-21,9-7  ,29-12,21-20,1-3 ,,,1610612759,1603.9517060852045
Toronto Raptors,3025,6296,511.0,1372.0,1553,2000,719.0,2335.0,3054.0,1742,428.0,349.0,984.0,1662,8114,15.36,2009-10,0,0,0,0,0,,40,42,0.488,21  ,29-23,11-5 ,25-16,15-26,2-2 ,,,1610612761,1444.057363090297
